r	xi	error	r2xi	r2error
26.0	0.0002878694907735543	1.1273594423484763e-05	0.1945997757629227	0.0076209498302757
30.0	0.00011740088768329276	9.789983051168889e-06	0.1056607989149635	0.008810984746052
34.0	6.626717027835035e-05	8.526277303750693e-06	0.076604848841773	0.0098563765631358
38.0	2.3954592221491757e-05	7.684124629573061e-06	0.0345904311678341	0.0110958759651035
42.0	-8.589939506483617e-06	6.988558764982709e-06	-0.0151526532894371	0.0123278176614295
46.0	-2.7553365774787807e-05	6.334797549191399e-06	-0.058302921979451	0.013404431614089
50.0	-1.3978108762187039e-05	5.83163899833808e-06	-0.0349452719054676	0.0145790974958452
54.0	-2.9745944666165087e-05	5.406136821306414e-06	-0.0867391746465374	0.0157642949709295
58.0	-4.1038721410774016e-05	4.985015070031985e-06	-0.1380542588258438	0.0167695906955876
62.0	-1.8032368617195473e-05	4.744093224190114e-06	-0.0693164249644994	0.0182362943537868
66.0	-2.9994466262740814e-05	4.425356366927434e-06	-0.130655895040499	0.0192768523343359
70.0	-1.8587433095190733e-05	4.184463472845245e-06	-0.0910784221664346	0.0205038710169417
74.0	-1.7231981549402702e-05	3.9769693341238135e-06	-0.0943623309645292	0.021777884073662
78.0	-1.5992201645109778e-05	3.7896064435146118e-06	-0.0972965548088479	0.0230559656023429
82.0	-1.5162679643269438e-05	3.579199051061288e-06	-0.1019538579213437	0.0240665344193361
86.0	-1.2108528847995134e-05	3.3964987806277855e-06	-0.089554679359772	0.0251205049815231
90.0	-1.1723929627566715e-05	3.2558416831535187e-06	-0.0949638299832904	0.0263723176335435
94.0	-5.637929662060638e-06	3.133396192434416e-06	-0.0498167464939678	0.0276866887563505
98.0	-2.0670922784047583e-06	2.9941858659319657e-06	-0.0198523542417993	0.0287561610564106
102.0	-2.5790869981162054e-06	2.870336552004335e-06	-0.026832821128401	0.0298629814870531
106.0	-1.9784543691007653e-06	2.755285292465771e-06	-0.0222299132912162	0.0309583855461454
110.0	-1.0087340688522232e-06	2.6694504063614212e-06	-0.0122056822331119	0.0323003499169732
114.0	-3.2564413530834025e-06	2.5899816663623344e-06	-0.0423207118246719	0.0336594017360449
118.0	-6.821872541142352e-06	2.499251008027973e-06	-0.0949877532628661	0.0347995710357815
122.0	-5.691183180518785e-06	2.4259530630954583e-06	-0.0847075704588416	0.0361078853911128
126.0	-6.39126146551387e-06	2.337264945239985e-06	-0.1014676670264982	0.03710641827063
130.0	-6.764256484651521e-06	2.277250886782213e-06	-0.1143159345906107	0.0384855399866194
134.0	-4.470429309290616e-06	2.2217027150718314e-06	-0.0802710286776223	0.0398928939518298
138.0	-5.821214139172511e-06	2.1661770623587114e-06	-0.1108592020664013	0.0412526759755593
142.0	-6.427709015143225e-06	2.1036185394030548e-06	-0.129608324581348	0.0424173642285232
146.0	-5.388410554473841e-06	2.0430246887139238e-06	-0.1148593593791644	0.043549114264626
150.0	-3.0679918535551866e-06	1.9887291122343688e-06	-0.0690298167049917	0.0447464050252733
154.0	-3.7369608287238237e-06	1.946814194427492e-06	-0.0886257630140142	0.0461706454350424
158.0	-3.5038744043788134e-06	1.9067656307593855e-06	-0.0874707206309127	0.0476004972062773
162.0	-4.093033144027382e-06	1.8609884514580095e-06	-0.1074175618318546	0.048839780920064
166.0	-4.191839025758938e-06	1.826823007847819e-06	-0.1155103161938133	0.0503399348042545
170.0	-4.493323987133169e-06	1.7907264768813183e-06	-0.1298570632281486	0.0517519951818701
174.0	-2.8978303381361938e-06	1.7471155965188731e-06	-0.0877347113174114	0.0528956718002054
178.0	-2.0236475685758238e-06	1.6991783576353521e-06	-0.0641172495627564	0.0538367670833185
182.0	-2.3803556803567473e-06	1.6625934321366413e-06	-0.0788469015561369	0.0550717448460941
186.0	-2.683718557782423e-06	1.626292891635796e-06	-0.0928459272250407	0.056263228879032
190.0	-2.7973576063561687e-06	1.6084102134291192e-06	-0.1009846095894577	0.0580636087047912
194.0	-3.0652089151170025e-06	1.5747318276219046e-06	-0.1153622027293435	0.059266607064378
198.0	-2.3354595770131363e-06	1.6272074190725818e-06	-0.091559357257223	0.0637930396573215
